TimeStamp,Frequency,feeling_positive,feeling_negative,Class
21,0,0,0,Reader_2_8.csv
21,0,0,0,Reader_2_9.csv
21,65,54,11,reader_3_1.csv
21,49,40,9,Reader_3_2.csv
21,15,10,5,Reader_3_3.csv
21,15,10,5,Reader_3_4.csv
21,11,7,4,Reader_3_5.csv
21,25,22,3,Reader_3_6.csv
21,7,6,1,Reader_3_7.csv
22,35,24,11,Reader_1_1.csv
22,0,0,0,Reader_1_10.csv
22,12,10,2,Reader_1_11.csv
22,1,0,1,Reader_1_12.csv
22,29,26,3,Reader_1_2.csv
22,5,4,1,Reader_1_3.csv
22,1,0,1,Reader_1_4.csv
22,14,10,4,Reader_1_5.csv
22,1,1,0,Reader_1_6.csv
22,2,2,0,Reader_1_7.csv
22,1,1,0,Reader_1_8.csv
22,1,0,1,Reader_1_9.csv
22,11,9,2,Reader_2_1.csv
22,3,2,1,Reader_2_10.csv
22,1,1,0,Reader_2_11.csv
22,10,4,6,Reader_2_12.csv
22,1,1,0,Reader_2_2.csv
22,6,2,4,Reader_2_3.csv
22,4,4,0,Reader_2_4.csv
22,1,0,1,Reader_2_5.csv
22,2,2,0,Reader_2_6.csv
22,0,0,0,Reader_2_7.csv
22,0,0,0,Reader_2_8.csv
22,0,0,0,Reader_2_9.csv
22,59,49,10,reader_3_1.csv
22,45,38,7,Reader_3_2.csv
22,12,8,4,Reader_3_3.csv
22,12,8,4,Reader_3_4.csv
22,11,8,3,Reader_3_5.csv
22,22,19,3,Reader_3_6.csv
22,7,4,3,Reader_3_7.csv
23,40,28,12,Reader_1_1.csv
23,0,0,0,Reader_1_10.csv
23,11,9,2,Reader_1_11.csv
23,1,0,1,Reader_1_12.csv
23,32,29,3,Reader_1_2.csv
23,5,5,0,Reader_1_3.csv
23,1,0,1,Reader_1_4.csv
23,14,11,3,Reader_1_5.csv
23,1,1,0,Reader_1_6.csv
23,4,4,0,Reader_1_7.csv
23,1,1,0,Reader_1_8.csv
23,2,1,1,Reader_1_9.csv
